Number,Date,Distance,Average Speed,Vertical,Profile score,Stage type,Year,Race
1,13 May 1909,397,28.15,,,0,1909,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
3,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
4,16 May 1909,378.5,,,,0,1909,giro-d-italia
5,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
6,18 May 1909,242.8,25.56,,,0,1909,giro-d-italia
7,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
8,20 May 1909,228.1,26.72,,,0,1909,giro-d-italia
9,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
11,23 May 1909,346.5,27,,,0,1909,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
13,25 May 1909,294.4,26.85,,,0,1909,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
15,27 May 1909,357,25.87,,,0,1909,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
17,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
18,30 May 1909,206,29.76,,,0,1909,giro-d-italia
1,18 May 1910,388,,,,1,1910,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
3,20 May 1910,322,,,,1,1910,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
5,22 May 1910,345,,,,1,1910,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
7,24 May 1910,319,,,,4,1910,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
9,26 May 1910,192,,,,1,1910,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
11,28 May 1910,327,,,,2,1910,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
13,30 May 1910,263,,,,2,1910,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
15,01 June 1910,218,,,,1,1910,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
17,03 June 1910,333,,,,4,1910,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
19,05 June 1910,0,26.11,,,2,1910,giro-d-italia
1,15 May 1911,394,,,,0,1911,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
3,17 May 1911,261,,,,0,1911,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
5,19 May 1911,274,,,,0,1911,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
7,21 May 1911,190,,,,0,1911,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
9,23 May 1911,302,,,,0,1911,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
11,25 May 1911,236,,,,0,1911,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
13,27 May 1911,394,,,,0,1911,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
15,29 May 1911,283,,,,0,1911,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
17,31 May 1911,218,,,,0,1911,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
19,02 June 1911,363,,,,0,1911,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
21,04 June 1911,345,,,,0,1911,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
23,06 June 1911,0,26.22,,,0,1911,giro-d-italia
1,19 May 1912,399,,,,0,1912,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
3,21 May 1912,329,,,,0,1912,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
5,23 May 1912,362,,,,0,1912,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
7,25 May 1912,294,,,,0,1912,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
9,27 May 1912,337,,,,0,1912,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
11,29 May 1912,268,,,,0,1912,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
13,31 May 1912,225,,,,0,1912,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
15,02 June 1912,281,,,,0,1912,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
17,04 June 1912,0,27.323,,,0,1912,giro-d-italia
1,06 May 1913,341,,,,0,1913,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
3,08 May 1913,332,,,,0,1913,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
5,10 May 1913,317,,,,0,1913,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
7,12 May 1913,341,,,,0,1913,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
9,14 May 1913,295,,,,0,1913,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
11,16 May 1913,256,,,,0,1913,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
13,18 May 1913,313,,,,0,1913,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
15,20 May 1913,413,,,,0,1913,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
17,22 May 1913,0,26.38,,,0,1913,giro-d-italia
1,24 May 1914,420,,,,0,1914,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
3,26 May 1914,340,,,,0,1914,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
5,28 May 1914,430,,,,0,1914,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
7,30 May 1914,365,,,,0,1914,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
9,01 June 1914,328,,,,0,1914,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
11,03 June 1914,428,,,,0,1914,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
13,05 June 1914,429,,,,0,1914,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
15,07 June 1914,0,23.37,,,0,1914,giro-d-italia
1,21 May 1919,302,,,,0,1919,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
3,23 May 1919,334,,,,0,1919,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
5,25 May 1919,282,,,,0,1919,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
7,27 May 1919,411,,,,0,1919,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
9,29 May 1919,312,,,,0,1919,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
11,31 May 1919,203,,,,0,1919,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
13,02 June 1919,350,,,,0,1919,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
15,04 June 1919,261,,,,0,1919,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
17,06 June 1919,277,,,,0,1919,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1919,giro-d-italia
19,08 June 1919,0,26.44,,,0,1919,giro-d-italia
1,23 May 1920,348,,,,0,1920,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
3,25 May 1920,378,,,,0,1920,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
5,27 May 1920,386,,,,0,1920,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
7,29 May 1920,234,,,,0,1920,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
9,31 May 1920,236,,,,0,1920,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
11,02 June 1920,282,,,,0,1920,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
13,04 June 1920,349,,,,0,1920,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1920,giro-d-italia
15,06 June 1920,0,25.64,,,0,1920,giro-d-italia
1,25 May 1921,333,,,,0,1921,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
3,27 May 1921,348,,,,0,1921,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
5,29 May 1921,321,,,,0,1921,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
7,31 May 1921,328,,,,0,1921,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
9,02 June 1921,264,,,,0,1921,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
11,04 June 1921,299,,,,0,1921,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
13,06 June 1921,341,,,,0,1921,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
15,08 June 1921,242,,,,0,1921,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
17,10 June 1921,320,,,,0,1921,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1921,giro-d-italia
19,12 June 1921,0,25.59,,,0,1921,giro-d-italia
1,24 May 1922,326,,,,0,1922,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
3,26 May 1922,268,,,,0,1922,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
5,28 May 1922,375,,,,0,1922,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
7,30 May 1922,367,,,,0,1922,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
9,01 June 1922,267,,,,0,1922,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
11,03 June 1922,254,,,,0,1922,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
13,05 June 1922,319,,,,0,1922,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
15,07 June 1922,292,,,,0,1922,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
17,09 June 1922,277,,,,0,1922,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1922,giro-d-italia
19,11 June 1922,0,25.86,,,0,1922,giro-d-italia
1,23 May 1923,328,26.922,,,0,1923,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
3,25 May 1923,312.9,31.726,,,0,1923,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
5,27 May 1923,265,18.26,,,0,1923,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
7,29 May 1923,289,25.037,,,0,1923,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
9,31 May 1923,281,24.971,,,0,1923,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
11,02 June 1923,283,25.89,,,0,1923,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
13,04 June 1923,383,27.155,,,0,1923,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
15,06 June 1923,362,24.572,,,0,1923,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
17,08 June 1923,370,29.06,,,0,1923,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1923,giro-d-italia
19,10 June 1923,0,25.9041,,,0,1923,giro-d-italia
1,10 May 1924,328,27.257,,,0,1924,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
3,12 May 1924,307.9,25.925,,,0,1924,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
5,14 May 1924,284,25.972,,,0,1924,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
7,16 May 1924,249.3,25.515,,,0,1924,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
9,18 May 1924,265.3,27.104,,,0,1924,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
11,20 May 1924,230.3,25.34,,,0,1924,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
13,22 May 1924,304.3,23.79,,,0,1924,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
15,24 May 1924,296,26.417,,,0,1924,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
17,26 May 1924,280.7,26.013,,,0,1924,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
19,28 May 1924,415,23.732,,,0,1924,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
21,30 May 1924,366,20.038,,,0,1924,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1924,giro-d-italia
23,01 June 1924,313,24.347,,,0,1924,giro-d-italia
1,16 May 1925,278,,,,0,1925,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
3,18 May 1925,279,,,,0,1925,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
5,20 May 1925,315,,,,0,1925,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
7,22 May 1925,337,,,,0,1925,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
9,24 May 1925,260,,,,0,1925,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
11,26 May 1925,314,,,,0,1925,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
13,28 May 1925,234,,,,0,1925,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
15,30 May 1925,275,,,,0,1925,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
17,01 June 1925,376,,,,0,1925,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
19,03 June 1925,224,,,,0,1925,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
21,05 June 1925,318,,,,0,1925,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1925,giro-d-italia
23,07 June 1925,0,25.6,,,0,1925,giro-d-italia
1,15 May 1926,275,,,,0,1926,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
3,17 May 1926,250,,,,0,1926,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
5,19 May 1926,312,,,,0,1926,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
7,21 May 1926,287,,,,0,1926,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
9,23 May 1926,232,,,,0,1926,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
11,25 May 1926,262,,,,0,1926,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
13,27 May 1926,250,,,,0,1926,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
15,29 May 1926,266,,,,0,1926,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
17,31 May 1926,357,,,,0,1926,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
19,02 June 1926,355,,,,0,1926,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
21,04 June 1926,291,,,,0,1926,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1926,giro-d-italia
23,06 June 1926,0,25.113,,,0,1926,giro-d-italia
1,15 May 1927,288,,,,0,1927,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
3,17 May 1927,321,,,,0,1927,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
5,19 May 1927,207,,,,0,1927,giro-d-italia
6,20 May 1927,240,,,,0,1927,giro-d-italia
7,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
8,22 May 1927,257,,,,0,1927,giro-d-italia
9,23 May 1927,256,,,,0,1927,giro-d-italia
10,24 May 1927,153,,,,0,1927,giro-d-italia
11,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
12,26 May 1927,271,,,,0,1927,giro-d-italia
13,27 May 1927,243,,,,0,1927,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
15,29 May 1927,220,,,,0,1927,giro-d-italia
16,30 May 1927,218,,,,0,1927,giro-d-italia
17,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
18,01 June 1927,305,,,,0,1927,giro-d-italia
19,02 June 1927,208,,,,0,1927,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
21,04 June 1927,275,,,,0,1927,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1927,giro-d-italia
23,06 June 1927,0,25.847,,,0,1927,giro-d-italia
1,12 May 1928,233,,,,0,1928,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
3,14 May 1928,312,,,,0,1928,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
5,16 May 1928,148,,,,0,1928,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
7,18 May 1928,327,,,,0,1928,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
9,20 May 1928,254,,,,0,1928,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
11,22 May 1928,248,,,,0,1928,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
13,24 May 1928,275,,,,0,1928,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
15,26 May 1928,323,,,,0,1928,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
17,28 May 1928,206,,,,0,1928,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
19,30 May 1928,270,,,,0,1928,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
21,01 June 1928,295,,,,0,1928,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1928,giro-d-italia
23,03 June 1928,0,26.748,,,0,1928,giro-d-italia
1,19 May 1929,235,,,,0,1929,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
3,21 May 1929,185,,,,0,1929,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
5,23 May 1929,282,,,,0,1929,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
7,25 May 1929,270,,,,0,1929,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
9,27 May 1929,264,,,,0,1929,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
11,29 May 1929,295,,,,0,1929,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
13,31 May 1929,220,,,,0,1929,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
15,02 June 1929,198,,,,0,1929,giro-d-italia
16,03 June 1929,120,,,,0,1929,giro-d-italia
17,04 June 1929,150,,,,0,1929,giro-d-italia
18,05 June 1929,192,,,,0,1929,giro-d-italia
19,-1,-1,-1,-1,-1,-1,1929,giro-d-italia
20,07 June 1929,135,,,,0,1929,giro-d-italia
21,08 June 1929,152,29.78,,,0,1929,giro-d-italia
22,09 June 1929,0,27.29,,,0,1929,giro-d-italia
1,17 May 1930,174,,,,0,1930,giro-d-italia
2,18 May 1930,280,,,,0,1930,giro-d-italia
3,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
4,20 May 1930,257,,,,0,1930,giro-d-italia
5,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
6,22 May 1930,173,,,,0,1930,giro-d-italia
7,23 May 1930,118,,,,0,1930,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
9,25 May 1930,292,,,,0,1930,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
11,27 May 1930,180,,,,0,1930,giro-d-italia
12,28 May 1930,247,,,,0,1930,giro-d-italia
13,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
14,30 May 1930,203,,,,0,1930,giro-d-italia
15,31 May 1930,185,,,,0,1930,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
17,02 June 1930,182,,,,0,1930,giro-d-italia
18,03 June 1930,188,,,,0,1930,giro-d-italia
19,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
20,05 June 1930,150,,,,0,1930,giro-d-italia
21,06 June 1930,186,,,,0,1930,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1930,giro-d-italia
23,08 June 1930,0,26.878,,,0,1930,giro-d-italia
1,10 May 1931,206,33.649,,,0,1931,giro-d-italia
2,11 May 1931,216,30.626,,,0,1931,giro-d-italia
3,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
4,13 May 1931,288,28.032,,,0,1931,giro-d-italia
5,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
6,15 May 1931,234,28.592,,,0,1931,giro-d-italia
7,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
8,17 May 1931,282,26.099,,,0,1931,giro-d-italia
9,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
10,19 May 1931,256,32.638,,,0,1931,giro-d-italia
11,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
12,21 May 1931,247,31.172,,,0,1931,giro-d-italia
13,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
14,23 May 1931,246,31.524,,,0,1931,giro-d-italia
15,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
16,25 May 1931,248,27.615,,,0,1931,giro-d-italia
17,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
18,27 May 1931,263,26.926,,,0,1931,giro-d-italia
19,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
20,29 May 1931,252,29.663,,,0,1931,giro-d-italia
21,-1,-1,-1,-1,-1,-1,1931,giro-d-italia
22,31 May 1931,0,29.332,,,0,1931,giro-d-italia
1,14 May 1932,207,34.806,,,0,1932,giro-d-italia
2,15 May 1932,183,34.145,,,0,1932,giro-d-italia
3,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
4,17 May 1932,225,33.292,,,0,1932,giro-d-italia
5,18 May 1932,215,32.257,,,0,1932,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
7,20 May 1932,286,28.744,,,0,1932,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
9,22 May 1932,220,29.853,,,0,1932,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
11,24 May 1932,280,29.802,,,0,1932,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
13,26 May 1932,217,31.111,,,0,1932,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
15,28 May 1932,265,29.152,,,0,1932,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
17,30 May 1932,321,27.108,,,0,1932,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
19,01 June 1932,273,31.945,,,0,1932,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
21,03 June 1932,267,29.14,,,0,1932,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1932,giro-d-italia
23,05 June 1932,271,32.187,,,0,1932,giro-d-italia
1,06 May 1933,169,33.137,,,0,1933,giro-d-italia
2,07 May 1933,216,30.717,,,0,1933,giro-d-italia
3,08 May 1933,191,29.689,,,0,1933,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1933,giro-d-italia
5,10 May 1933,184,31.135,,,0,1933,giro-d-italia
6,11 May 1933,193,32.095,,,0,1933,giro-d-italia
7,12 May 1933,212,30.192,,,0,1933,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1933,giro-d-italia
9,14 May 1933,228,30.235,,,0,1933,giro-d-italia
10,15 May 1933,195,28.192,,,0,1933,giro-d-italia
11,-1,-1,-1,-1,-1,-1,1933,giro-d-italia
12,17 May 1933,248,28.957,,,0,1933,giro-d-italia
13,18 May 1933,158,27.204,,,0,1933,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1933,giro-d-italia
15,20 May 1933,208,31.323,,,0,1933,giro-d-italia
16,21 May 1933,189,33.481,,,0,1933,giro-d-italia
17,22 May 1933,62,39.22,,,0,1933,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1933,giro-d-italia
19,24 May 1933,242,30.877,,,0,1933,giro-d-italia
20,25 May 1933,213,28.071,,,0,1933,giro-d-italia
21,26 May 1933,148,26.856,,,0,1933,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1933,giro-d-italia
23,28 May 1933,284,28.238,,,0,1933,giro-d-italia
1,19 May 1934,169,,,,0,1934,giro-d-italia
2,20 May 1934,206,,,,0,1934,giro-d-italia
3,-1,-1,-1,-1,-1,-1,1934,giro-d-italia
4,22 May 1934,220,,,,0,1934,giro-d-italia
5,23 May 1934,45,41.127,,,0,1934,giro-d-italia
6,24 May 1934,333,,,,0,1934,giro-d-italia
7,-1,-1,-1,-1,-1,-1,1934,giro-d-italia
8,26 May 1934,228,,,,0,1934,giro-d-italia
9,27 May 1934,339,,,,0,1934,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1934,giro-d-italia
11,29 May 1934,245,,,,0,1934,giro-d-italia
12,30 May 1934,283,,,,0,1934,giro-d-italia
13,31 May 1934,214,,,,0,1934,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1934,giro-d-italia
15,02 June 1934,213,,,,0,1934,giro-d-italia
16,03 June 1934,176,,,,0,1934,giro-d-italia
17,04 June 1934,120,,,,0,1934,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1934,giro-d-italia
19,06 June 1934,59,,,,0,1934,giro-d-italia
20,07 June 1934,273,,,,0,1934,giro-d-italia
21,08 June 1934,273,,,,0,1934,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1934,giro-d-italia
23,10 June 1934,0,30.548,,,0,1934,giro-d-italia
1,18 May 1935,165,36.608,,,0,1935,giro-d-italia
2,19 May 1935,175,36.534,,,0,1935,giro-d-italia
3,20 May 1935,162,35.773,,,0,1935,giro-d-italia
4,21 May 1935,140,38.078,,,0,1935,giro-d-italia
5,22 May 1935,35,43.047,,,0,1935,giro-d-italia
6,23 May 1935,136,35.792,,,0,1935,giro-d-italia
7,24 May 1935,171,36.933,,,0,1935,giro-d-italia
8,25 May 1935,146,31.128,,,0,1935,giro-d-italia
9,26 May 1935,308,27.828,,,0,1935,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1935,giro-d-italia
11,28 May 1935,333,28.628,,,0,1935,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1935,giro-d-italia
13,30 May 1935,250,30.266,,,0,1935,giro-d-italia
14,31 May 1935,317,28.884,,,0,1935,giro-d-italia
15,-1,-1,-1,-1,-1,-1,1935,giro-d-italia
16,02 June 1935,134,28.919,,,0,1935,giro-d-italia
17,03 June 1935,99,33.991,,,0,1935,giro-d-italia
18,03 June 1935,55,42.95,,,0,1935,giro-d-italia
19,04 June 1935,172,31.328,,,0,1935,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1935,giro-d-italia
21,06 June 1935,148,33.474,,,0,1935,giro-d-italia
22,07 June 1935,91,34.379,,,0,1935,giro-d-italia
23,08 June 1935,250,29.072,,,0,1935,giro-d-italia
